item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,full_original_sentence,intervening_text,sent_id,source_file
11,kommen,long,23,"Damit kommen die Hersteller auch der Kompatibilität zwischen dem einzigen wiederbeschreibbaren DVD-Format , für das es Geräte gibt , und den DVD-ROM-Playern ein gutes Stück",näher,dazu;davon,"Damit kommen die Hersteller auch der Kompatibilität zwischen dem einzigen wiederbeschreibbaren DVD-Format , für das es Geräte gibt , und den DVD-ROM-Playern ein gutes Stück näher .","die Hersteller auch der Kompatibilität zwischen dem einzigen wiederbeschreibbaren DVD-Format , für das es Geräte gibt , und den DVD-ROM-Playern ein gutes Stück",hdt-s24289,de_hdt-ud-train-a-1.conllu
12,kommen,long,14,Zu den reinen Lizenzkosten kommen Beträge in Milliardenhöhe für den Aufbau der UMTS-Netze sowie Zinsen für Kredite und Anleihen,hinzu,los;zuvor,Zu den reinen Lizenzkosten kommen Beträge in Milliardenhöhe für den Aufbau der UMTS-Netze sowie Zinsen für Kredite und Anleihen hinzu .,Beträge in Milliardenhöhe für den Aufbau der UMTS-Netze sowie Zinsen für Kredite und Anleihen,hdt-s148405,de_hdt-ud-train-b-1.conllu
13,kommen,long,8,"Sollte die Klägerin in dem Prozeß Recht bekommen , warnt er , käme dies "" einem Maulkorb für das Internet """,gleich,näher;zuvor,"Sollte die Klägerin in dem Prozeß Recht bekommen , warnt er , käme dies "" einem Maulkorb fürs Internet "" gleich .","dies "" einem Maulkorb für das Internet """,hdt-s95946,de_hdt-ud-train-a-2.conllu
14,kommen,long,11,"Es ist in einer Armbanduhr untergebracht und kommt ohne herkömmlichen Lautsprecher und ohne die übliche "" große "" Handy-Tastatur",aus,unter;hierher,"Es ist in einer Armbanduhr untergebracht und kommt ohne herkömmlichen Lautsprecher und ohne die übliche "" große "" Handy-Tastatur aus .","ohne herkömmlichen Lautsprecher und ohne die übliche "" große "" Handy-Tastatur",hdt-s74871,de_hdt-ud-train-a-2.conllu
15,kommen,long,9,So kommen die jetzt erhältlichen DVD-ROM-Laufwerke und DVD-Player nicht mit DVD-R-Discs,zurecht,vor;an,"So kommen die jetzt erhältlichen DVD-ROM-Laufwerke und DVD-Player nicht mit DVD-R-Discs zurecht , die in mehreren Sessions beschrieben sind : ihnen fehlt die Multisessionfähigkeit .",die jetzt erhältlichen DVD-ROM-Laufwerke und DVD-Player nicht mit DVD-R-Discs,hdt-s24279,de_hdt-ud-train-a-1.conllu
16,gehen,short,2,"Der Professor , der sich vor seinem Wechsel in die Informatik lange Jahre mit Statistik beschäftigt hat , ging ein Hauptargument",an,bergauf;voraus,"Der Professor , der sich vor seinem Wechsel in die Informatik lange Jahre mit Statistik beschäftigt hat , ging ein Hauptargument an , das die ganze Diskussion über die IT-Migranten auch bei der deutschen Green-Card-Regelung begleitet hat :",ein Hauptargument,hdt-s149267,de_hdt-ud-train-b-1.conllu
17,gehen,short,2,35 Prozent unter ihnen gehen sogar davon,aus,ein;zugrunde,"35 Prozent unter ihnen gehen sogar davon aus , daß es Gratistelefonate schon binnen eines Jahres geben wird .",sogar davon,hdt-s77092,de_hdt-ud-train-a-2.conllu
18,gehen,short,1,Eine E-Mail mit sexuellem Inhalt ging weltweit,herum,auf;hinaus,"Eine E-Mail mit sexuellem Inhalt ging weltweit herum , nachdem der Empfänger , ein Rechtsanwalt , sie von seinem Arbeitsplatz aus stolz an einige Freunde weitergeleitet hatte .",weltweit,hdt-s92833,de_hdt-ud-train-a-2.conllu
19,gehen,short,2,Rechtsanwalt geht gegen Abmahn-Datenbank,vor,vorbei;voran,Rechtsanwalt geht gegen Abmahn-Datenbank vor,gegen Abmahn-Datenbank,hdt-s14426,de_hdt-ud-test.conllu
20,gehen,short,1,"Die Telekom öffnet den anmeldepflichtigen T-Online-by-Call-Zugang ausschließlich über ISDN , Kunden mit analogem Anschluss gehen leer",aus,zusammen;zu,"Die Telekom öffnet den anmeldepflichtigen T-Online-by-Call-Zugang ausschließlich über ISDN , Kunden mit analogem Anschluss gehen leer aus .",leer,hdt-s199754,de_hdt-ud-train-b-2.conllu
21,gehen,medium,7,E-Plus geht mit Hutchison zu der Ersteigerung einer UMTS-Lizenz,zusammen,einher;aufwärts,E-Plus geht mit Hutchison zur Ersteigerung einer UMTS-Lizenz zusammen .,mit Hutchison zu der Ersteigerung einer UMTS-Lizenz,hdt-s143931,de_hdt-ud-train-b-1.conllu
22,gehen,medium,3,Sie geht nicht nur davon,aus,bergauf;herum,"Sie geht nicht nur davon aus , dass bereits im Jahr 2003 mehr als eine Milliarde Mobilfunk-Teilnehmer weltweit geben wird , sondern dass im selben Jahr auch die Zahl der mobilen Internet-Zugangsgeräte die Anzahl der PCs mit Internet-Anbindung übersteigt .",nicht nur davon,hdt-s20009,de_hdt-ud-train-a-1.conllu
23,gehen,medium,3,Dem Regelbetrieb in Ludwigshafen gingen Experimente in Bremen,voraus,weiter;hinaus,Dem Regelbetrieb in Ludwigshafen gingen Experimente in Bremen voraus .,Experimente in Bremen,hdt-s171165,de_hdt-ud-train-b-2.conllu
24,gehen,medium,5,Geht das Verfahren positiv für Microsoft,aus,hinweg;hinaus,"Geht das Verfahren positiv für Microsoft aus , erscheint eine erneute Anklage wegen der Serversoftware zunächst unwahrscheinlich .",das Verfahren positiv für Microsoft,hdt-s37122,de_hdt-ud-train-a-1.conllu
25,gehen,medium,3,Britische Geheimdienste gehen wieder gegen Web-Veröffentlichungen,vor,nach;weg,Britische Geheimdienste gehen wieder gegen Web-Veröffentlichungen vor,wieder gegen Web-Veröffentlichungen,hdt-s7545,de_hdt-ud-dev.conllu
26,gehen,long,36,"Aus dem Poker gingen D1 ( Telekom ) , D2 ( Vodafone ) , E-Plus , VIAG Interkom ( British Telecom ) sowie Mobilcom ( France Telecom ) und zu der Überraschung vieler auch das spanisch/finnische Konsortium G3 als Sieger",hervor,hinweg;weiter,"Aus dem Poker gingen D1 ( Telekom ) , D2 ( Vodafone ) , E-Plus , VIAG Interkom ( British Telecom ) sowie Mobilcom ( France Telecom ) und zur Überraschung vieler auch das spanisch/finnische Konsortium G3 als Sieger hervor .","D1 ( Telekom ) , D2 ( Vodafone ) , E-Plus , VIAG Interkom ( British Telecom ) sowie Mobilcom ( France Telecom ) und zu der Überraschung vieler auch das spanisch/finnische Konsortium G3 als Sieger",hdt-s56797,de_hdt-ud-train-a-1.conllu
27,gehen,long,18,Der von James Clark und Stephen Deach ( Adobe ) verfaßte Draft geht nicht nur wegen seines Umfangs weit über die von Microsoft und anderen in dem August 1997 eingereicht Note,hinaus,bergauf;ab,Der von James Clark und Stephen Deach ( Adobe ) verfaßte Draft geht nicht nur wegen seines Umfangs weit über die von Microsoft und anderen im August 1997 eingereicht Note hinaus .,nicht nur wegen seines Umfangs weit über die von Microsoft und anderen in dem August 1997 eingereicht Note,hdt-s110119,de_hdt-ud-dev.conllu
28,gehen,long,8,Der Reply geht dann wieder ordnungsgemäß als E-Mail an den Absender,zurück,verloren;vor,Der Reply geht dann wieder ordnungsgemäß als E-Mail an den Absender zurück .,dann wieder ordnungsgemäß als E-Mail an den Absender,hdt-s28418,de_hdt-ud-train-a-1.conllu
29,gehen,long,13,"Zwei Tage , bevor in Stockholm die Kerzen an den Weihnachtsbäumen angezündet wurden , gingen in dem Skandinavien-Büro von Webmiles nach nicht einmal neun Monaten Betriebszeit die Lichter",aus,auseinander;los,"Zwei Tage , bevor in Stockholm die Kerzen an den Weihnachtsbäumen angezündet wurden , gingen im Skandinavien-Büro von Webmiles nach nicht einmal neun Monaten Betriebszeit die Lichter aus - der zweite Schlag für Webmiles nach dem Ende der Kooperation mit Ricardo vor wenigen Wochen .",in dem Skandinavien-Büro von Webmiles nach nicht einmal neun Monaten Betriebszeit die Lichter,hdt-s173462,de_hdt-ud-train-b-2.conllu
30,gehen,long,12,An dem 26. Juli will Infineon die Zahlen für das morgen endende dritte Quartal vorlegen und geht von einem Gewinn von rund 300 Millionen Euro ( vor Steuern ),aus,einher;zu,Am 26. Juli will Infineon die Zahlen für das morgen endende dritte Quartal vorlegen und geht von einem Gewinn von rund 300 Millionen Euro ( vor Steuern ) aus .,von einem Gewinn von rund 300 Millionen Euro ( vor Steuern ),hdt-s46136,de_hdt-ud-train-a-1.conllu
31,stellen,short,1,Man stelle sich,vor,richtig;hin,"Man stelle sich vor , die GMD oder das Fraunhofer Institut würden hierzulande nämliches machen .",sich,hdt-s98191,de_hdt-ud-train-a-2.conllu
32,stellen,short,2,Transmeta stellt den Crusoe-Prozessor,her,fest;gleich,"Transmeta stellt den Crusoe-Prozessor her , der vor allem durch seine geringe Stromaufnahme ( unter 5 Watt bei 600 MHz ) und daher geringe Hitzeentwicklung glänzt .",den Crusoe-Prozessor,hdt-s185118,de_hdt-ud-train-b-2.conllu
33,stellen,short,2,Mögliche Konzepte stellte Marit Köhntopp,vor,sicher;nach,"Mögliche Konzepte stellte Marit Köhntopp vor , Informatikerin im Unabhängigen Datenschutzzentrum in Kiel .",Marit Köhntopp,hdt-s83982,de_hdt-ud-train-a-2.conllu
34,stellen,short,2,Diamond stellt neuen Rio,vor,dar;sicher,Diamond stellt neuen Rio vor,neuen Rio,hdt-s105358,de_hdt-ud-dev.conllu
35,stellen,short,1,Hierzu stelle ich,fest,raus;zusammen,Hierzu stelle ich fest :,ich,hdt-s50985,de_hdt-ud-train-a-1.conllu
36,stellen,medium,5,Vielmehr stellten sie in dem Wesentlichen darauf,ab,vor;ein,"Vielmehr stellten sie im Wesentlichen darauf ab , dass das Gerät derzeit die Existenz von privaten Fernsehanbietern noch nicht bedrohe .",sie in dem Wesentlichen darauf,hdt-s59641,de_hdt-ud-train-a-1.conllu
37,stellen,medium,5,"Um in Zukunft wieder Gewinne einzufahren , stellt T-Online jetzt ein verlustträchtiges Angebot",ein,um;dar,"Um in Zukunft wieder Gewinne einzufahren , stellt T-Online jetzt ein verlustträchtiges Angebot ein :",T-Online jetzt ein verlustträchtiges Angebot,hdt-s20247,de_hdt-ud-train-a-1.conllu
38,stellen,medium,7,"Die US-Firma Invention Machine Corporation stellt einen "" Knowledge-Processor "" für das Internet",vor,richtig;dar,"Die US-Firma Invention Machine Corporation stellt einen "" Knowledge-Processor "" für das Internet vor .","einen "" Knowledge-Processor "" für das Internet",hdt-s49833,de_hdt-ud-train-a-1.conllu
39,stellen,medium,6,Die Datenmengen bei der Aufzeichnung von Video in dem MPEG-2- oder MPEG-4-Format stellten für die Microdrives überhaupt kein Problem,dar,ab;frei,"Die Datenmengen bei der Aufzeichnung von Video im MPEG-2- oder MPEG-4-Format stellten für die Microdrives überhaupt kein Problem dar , meint Berger .",für die Microdrives überhaupt kein Problem,hdt-s205146,de_hdt-ud-train-b-2.conllu
40,stellen,medium,5,"Die Sonne-Flatrate war bereits in dem September des letzten Jahres untergegangen , das Sonnet-Portal stellte die Firma dann Mitte Dezember",ein,zusammen;nach,"Die Sonne-Flatrate war bereits im September des letzten Jahres untergegangen , das Sonnet-Portal stellte die Firma dann Mitte Dezember ein .",die Firma dann Mitte Dezember,hdt-s199580,de_hdt-ud-train-b-2.conllu
41,stellen,long,16,Als vollständig kompatibel zu der Version 6.3 des X Window System stellte NetManage auf der CeBIT den in dem letzten Jahr von Age Logic übernommenen X-Server für PCs,vor,sicher;heraus,Als vollständig kompatibel zur Version 6.3 des X Window System stellte NetManage auf der CeBIT den im letzten Jahr von Age Logic übernommenen X-Server für PCs vor .,NetManage auf der CeBIT den in dem letzten Jahr von Age Logic übernommenen X-Server für PCs,hdt-s192763,de_hdt-ud-train-b-2.conllu
42,stellen,long,9,Das Heinz Nixdorf Museum in Paderborn stellt für diese Aktion eine Etage samt der benötigten Energieversorgung,bereit,auf;infrage,Das Heinz Nixdorf Museum in Paderborn stellt für diese Aktion eine Etage samt der benötigten Energieversorgung bereit .,für diese Aktion eine Etage samt der benötigten Energieversorgung,hdt-s17523,de_hdt-ud-test.conllu
43,stellen,long,9,Dies stellte an dem Freitag die britische E-Zine Need To Know,fest,gegenüber;her,Dies stellte am Freitag die britische E-Zine Need To Know fest .,an dem Freitag die britische E-Zine Need To Know,hdt-s105758,de_hdt-ud-dev.conllu
44,stellen,long,9,Baan stellt wie die noch größere Walldorfer SAP Software für Großunternehmen,her,aus;fertig,Baan stellt wie die noch größere Walldorfer SAP Software für Großunternehmen her .,wie die noch größere Walldorfer SAP Software für Großunternehmen,hdt-s119198,de_hdt-ud-test.conllu
45,stellen,long,8,"Die Asia Pacific Telecommunity ( APT ) , ein auf einem zwischenstaatlichen Vertrag beruhender regionaler Telekommunikationsverbund , hatte Anfang November die so genannte Tokyo Declaration verabschiedet , in der sich die Informations- und Telekommunikationsminister der APT-Mitgliederstaaten auf Entwicklungsgrundsätze in dem Bereich der Informations- und Kommunikationstechniken verständigt hatten - diese Deklaration stellt ein Pendant zu dem europäischen Internet-Entwicklungsplans E-Europe 2002",dar,fertig;her,"Die Asia Pacific Telecommunity ( APT ) , ein auf einem zwischenstaatlichen Vertrag beruhender regionaler Telekommunikationsverbund , hatte Anfang November die so genannte Tokyo Declaration verabschiedet , in der sich die Informations- und Telekommunikationsminister der APT-Mitgliederstaaten auf Entwicklungsgrundsätze im Bereich der Informations- und Kommunikationstechniken verständigt hatten - diese Deklaration stellt ein Pendant zum europäischen Internet-Entwicklungsplans E-Europe 2002 dar .",ein Pendant zu dem europäischen Internet-Entwicklungsplans E-Europe 2002,hdt-s31901,de_hdt-ud-train-a-1.conllu
46,geben,short,2,Anderthalb Jahre später gab die Firma,auf,ein;bekennen,Anderthalb Jahre später gab die Firma auf :,die Firma,hdt-s153306,de_hdt-ud-train-b-1.conllu
47,geben,short,0,Der Prozessorhersteller gab,an,preis;zurück,"Der Prozessorhersteller gab an , die Wiederherstellung des Steuerungssystems habe rund 20.000 US-Dollar gekostet .",,hdt-s178806,de_hdt-ud-train-b-2.conllu
48,geben,short,1,Als einen Grund für den schlappen PC-Absatz gab IDC,an,wider;heraus,"Als einen Grund für den schlappen PC-Absatz gab IDC an , dass Großfirmen bei Investitionen in Hardware zögerlicher seien als erwartet .",IDC,hdt-s45418,de_hdt-ud-train-a-1.conllu
49,geben,short,0,IDT gibt,an,ein;vor,"IDT gibt an , die Lieferengpässe beim W2-Chips ausgeräumt zu haben und die Versionen mit 200 , 225 und 240 MHz in Stückzahlen liefern zu können , auch in Ausführungen mit 3,3 Volt .",,hdt-s187269,de_hdt-ud-train-b-2.conllu
50,geben,short,2,Als Grund gab ein Funktionär,an,preis;frei,"Als Grund gab ein Funktionär an, dass ""der Vater immer wieder Geld wollte"".",ein Funktionär,train-s2672,de_gsd-ud-train.conllu
51,geben,medium,3,In einer Börsenpflichtmeldung gab der Co-Shopping-Anbieter LetsBuyIt.com,bekannt,weiter;statt,"In einer Börsenpflichtmeldung gab der Co-Shopping-Anbieter LetsBuyIt.com bekannt , dass die niederländische Muttergesellschaft ein Moratorium beantragt hat .",der Co-Shopping-Anbieter LetsBuyIt.com,hdt-s177724,de_hdt-ud-train-b-2.conllu
52,geben,medium,3,Unzufriedenheit mit der Situation gaben nur kleine EDV-Firmen,an,weiter;preis,Unzufriedenheit mit der Situation gaben nur kleine EDV-Firmen an .,nur kleine EDV-Firmen,hdt-s35693,de_hdt-ud-train-a-1.conllu
53,geben,medium,3,Intel gab außerdem erstmals offiziell,bekannt,ein;heraus,"Intel gab außerdem erstmals offiziell bekannt , einen neuen Prozessor für Low-Cost-PCs und Internet-""Appliances"" wie Fernseh-Set-Top-Boxen zu entwickeln .",außerdem erstmals offiziell,hdt-s184720,de_hdt-ud-train-b-2.conllu
54,geben,medium,6,1906 gab er seine Arzttätigkeit sogar zunächst ganz,auf,hin;nach,1906 gab er seine Arzttätigkeit sogar zunächst ganz auf.,er seine Arzttätigkeit sogar zunächst ganz,train-s5322,de_gsd-ud-train.conllu
55,geben,medium,5,Die Regulierungsbehörde für Telekommunikation und Post gibt in wenigen Wochen den Start,frei,hin;recht,Die Regulierungsbehörde für Telekommunikation und Post gibt in wenigen Wochen den Start frei für den Aufbau von Highspeed-Mobilfunknetzen .,in wenigen Wochen den Start,hdt-s73643,de_hdt-ud-train-a-2.conllu
56,geben,long,9,Bislang gab das Unternehmen aber noch keine Details zu dem Format,bekannt,bei;hin,Bislang gab das Unternehmen aber noch keine Details zu dem Format bekannt .,das Unternehmen aber noch keine Details zu dem Format,hdt-s19255,de_hdt-ud-test.conllu
57,geben,long,8,In dem Interview gab Mühlner zudem die Investition eines hohen zweistelligen Millionenbetrags,bekannt,frei;nach,"Im Interview gab Mühlner zudem die Investition eines hohen zweistelligen Millionenbetrags bekannt , um eine eigenen Netzinfrastruktur für das europaweite Großkundengeschäft aufzubauen .",Mühlner zudem die Investition eines hohen zweistelligen Millionenbetrags,hdt-s66520,de_hdt-ud-train-a-2.conllu
58,geben,long,17,Als weitere Neuerungen gibt Microsoft die Unterstützung von Dynamic HTML ( DHTML ) und Synchronized Multimedia Integration Language ( SMIL ),an,bei;preis,Als weitere Neuerungen gibt Microsoft die Unterstützung von Dynamic HTML ( DHTML ) und Synchronized Multimedia Integration Language ( SMIL ) an .,Microsoft die Unterstützung von Dynamic HTML ( DHTML ) und Synchronized Multimedia Integration Language ( SMIL ),hdt-s112997,de_hdt-ud-test.conllu
59,geben,long,9,"An dem Freitag gab das Papier um über 11 Prozent auf 2,71 Euro",nach,vor;heraus,"Am Freitag gab das Papier um über 11 Prozent auf 2,71 Euro nach .","das Papier um über 11 Prozent auf 2,71 Euro",hdt-s152321,de_hdt-ud-train-b-1.conllu
60,geben,long,15,"In dem nachbörslichen Handel gab der Kurs bei vergleichsweise hohem Handelsvolumen noch einmal um über 6 Prozent auf 52,06 US-Dollar",nach,mit;an,"Im nachbörslichen Handel gab der Kurs bei vergleichsweise hohem Handelsvolumen noch einmal um über 6 Prozent auf 52,06 US-Dollar nach .","der Kurs bei vergleichsweise hohem Handelsvolumen noch einmal um über 6 Prozent auf 52,06 US-Dollar",hdt-s149773,de_hdt-ud-train-b-1.conllu
61,nehmen,short,1,Der lang ersehnte Nachfolger des Bildkompressionsformats JPEG nimmt Formen,an,auf;aus,Der lang ersehnte Nachfolger des Bildkompressionsformats JPEG nimmt Formen an .,Formen,hdt-s15384,de_hdt-ud-test.conllu
62,nehmen,short,1,Das Heimnetzwerk nimmt Gestalt,an,aus;ein,Das Heimnetzwerk nimmt Gestalt an,Gestalt,hdt-s158206,de_hdt-ud-train-b-1.conllu
63,nehmen,short,2,Die Medien nahmen das Thema,auf,zurück;aus,"Die Medien nahmen das Thema auf und bezeichneten die Morde als underworld war (""Krieg der Unterwelt"");",das Thema,train-s9299,de_gsd-ud-train.conllu
64,nehmen,short,0,Studienabbrüche in der Informatik nehmen,zu,weg;zurück,Studienabbrüche in der Informatik nehmen zu,,hdt-s89555,de_hdt-ud-train-a-2.conllu
65,nehmen,short,1,Nun nimmt man,an,teil;war,"Nun nimmt man an, dass Ramius wahnsinnig geworden ist und die USA im Alleingang angreifen will.",man,train-s7826,de_gsd-ud-train.conllu
66,nehmen,medium,3,Schließlich nimmt man an Online-Auktionen,teil,mit;weg,"Schließlich nimmt man an Online-Auktionen teil , um Geld zu sparen .",man an Online-Auktionen,hdt-s196350,de_hdt-ud-train-b-2.conllu
67,nehmen,medium,7,In dem Januar 1999 nahm Sarah Flannery an Irlands Young Scientists Contest,teil,ab;fest,"Im Januar 1999 nahm Sarah Flannery an Irlands Young Scientists Contest teil , dem Gegenstück zum deutschen Jugend forscht .",Sarah Flannery an Irlands Young Scientists Contest,hdt-s82283,de_hdt-ud-train-a-2.conllu
68,nehmen,medium,6,Die Mitarbeiterzahl der Düsseldorfer Mannesmann-Gruppe nahm um 6 Prozent auf rund 28.900,zu,hin;zurück,Die Mitarbeiterzahl der Düsseldorfer Mannesmann-Gruppe nahm um 6 Prozent auf rund 28.900 zu .,um 6 Prozent auf rund 28.900,hdt-s159366,de_hdt-ud-train-b-1.conllu
69,nehmen,medium,5,Bereits damals nahmen einige Provider Vormerkungen für .eu,an,hin;zu,"Bereits damals nahmen einige Provider Vormerkungen für .eu an - in der Regel waren diese zwar kostenlos , beinhalteten aber keine rechtliche Garantie , dass ein Interessierter die Domain am Ende auch bekommt .",einige Provider Vormerkungen für .eu,hdt-s153578,de_hdt-ud-train-b-1.conllu
70,nehmen,medium,4,"Darüber kann man streiten , ich nehme mir aber das Recht",heraus,war;auf,"Darüber kann man streiten , ich nehme mir aber das Recht heraus , sie hier zu vertreten .",mir aber das Recht,hdt-s145760,de_hdt-ud-train-b-1.conllu
71,nehmen,long,24,Vor Beginn der slowenischen Meisterschaft nahmen der HK Jesenice und der HDD Olimpija Ljubljana an der ersten Austragung des neu geschaffenen und als Nachfolger der Alpenliga konzipierten Bewerbes der Interliga,teil,war;auf,Vor Beginn der slowenischen Meisterschaft nahmen der HK Jesenice und der HDD Olimpija Ljubljana an der ersten Austragung des neu geschaffenen und als Nachfolger der Alpenliga konzipierten Bewerbes der Interliga teil.,der HK Jesenice und der HDD Olimpija Ljubljana an der ersten Austragung des neu geschaffenen und als Nachfolger der Alpenliga konzipierten Bewerbes der Interliga,train-s8863,de_gsd-ud-train.conllu
72,nehmen,long,9,Zwölf Unternehmen nehmen an der Versteigerung der Lizenzen für die nächste Mobilfunkgeneration,teil,entgegen;ernst,Zwölf Unternehmen nehmen an der Versteigerung der Lizenzen für die nächste Mobilfunkgeneration teil .,an der Versteigerung der Lizenzen für die nächste Mobilfunkgeneration,hdt-s48929,de_hdt-ud-train-a-1.conllu
73,nehmen,long,9,"In den folgenden Romanen nimmt Askildsen zumeist "" die Perspektive eines Ich - Erzählers",ein,hinzu;war,"In den folgenden Romanen nimmt Askildsen zumeist ""die Perspektive eines Ich-Erzählers ein, der in einem existenzialistisch angehauchten Monolog -- ganz in der Tradition von Albert Camus 'Der Fremde oder Jean - Paul Sartres Der Ekel -- lakonisch seinen Alltag Revue passieren lässt.""","Askildsen zumeist "" die Perspektive eines Ich - Erzählers",train-s3817,de_gsd-ud-train.conllu
74,nehmen,long,8,In dem Dezember nahm Compaq wegen des schleppenden Weihnachtsgeschäfts eine weitere Berichtigung,vor,ernst;hinzu,Im Dezember nahm Compaq wegen des schleppenden Weihnachtsgeschäfts eine weitere Berichtigung vor .,Compaq wegen des schleppenden Weihnachtsgeschäfts eine weitere Berichtigung,hdt-s165653,de_hdt-ud-train-b-2.conllu
75,nehmen,long,14,"Gleichzeit nahm der Anbieter aber nur 9,1 Millionen US-Dollar durch den Verkauf von Anzeigen und User-Profilen",ein,vor;ernst,"Gleichzeit nahm der Anbieter aber nur 9,1 Millionen US-Dollar durch den Verkauf von Anzeigen und User-Profilen ein , durch die Werber gezielt Surfer ansprechen können .","der Anbieter aber nur 9,1 Millionen US-Dollar durch den Verkauf von Anzeigen und User-Profilen",hdt-s155273,de_hdt-ud-train-b-1.conllu
76,setzen,short,2,Amerikanische Kasinos setzen diese bereits,ein,zurück;zu,"Amerikanische Kasinos setzen diese bereits ein , um bekannte Falschspieler zu erkennen , ebenso wie zwei europäische Flughäfen .",diese bereits,hdt-s193640,de_hdt-ud-train-b-2.conllu
77,setzen,short,0,Das Problem der Haftbarkeit für jeden schlechten Witz setze,voraus,auf;hoch,"Das Problem der Haftbarkeit für jeden schlechten Witz setze voraus , dass die Menschen perfekt sind und nichts Unbedachtes machen , und es gefährde das durch die Verfassung geschützte Recht auf Meinungsfreiheit .",,hdt-s93613,de_hdt-ud-train-a-2.conllu
78,setzen,short,1,Bayern setzt Internet-Beirat,ein,gleich;drauf,Bayern setzt Internet-Beirat ein,Internet-Beirat,hdt-s134091,de_hdt-ud-train-b-1.conllu
79,setzen,short,2,Mehr als drei Millionen Kunden setzen Visios Diagramm-Software,ein,durch;voraus,Mehr als drei Millionen Kunden setzen Visios Diagramm-Software ein .,Visios Diagramm-Software,hdt-s183555,de_hdt-ud-train-b-2.conllu
80,setzen,short,0,Der desolaten Finanzlage des Unternehmens wegen hat der Vergleichsverwalter jedoch abgewunken : ein Vergleich setzte,voraus,aus;auf,"Der desolaten Finanzlage des Unternehmens wegen hat der Vergleichsverwalter jedoch abgewunken : ein Vergleich setzte voraus , daß ESCOM mindestens 35 Prozent der Forderungen seiner Gläubiger erfüllte .",,hdt-s89748,de_hdt-ud-train-a-2.conllu
81,setzen,medium,6,Wieder aber setzte der Supreme Court keine Verhandlung darüber,an,drauf;hinzu,Wieder aber setzte der Supreme Court keine Verhandlung darüber an .,der Supreme Court keine Verhandlung darüber,hdt-s138349,de_hdt-ud-train-b-1.conllu
