item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,n_candidates,full_original_sentence,intervening_text,sent_id,source_file
11,gehen,short,1,Die Untersuchung geht davon,aus,ab;abwärts;an;auf;aufwärts;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,"Die Untersuchung geht davon aus , daß Online-Werbung überdies eher wahrgenommen werde als Werbung im Fernsehen .",davon,hdt-s101616,de_hdt-ud-train-a-2.conllu
12,gehen,short,1,Aus der heute veröffentlichten Mitteilung geht lediglich,hervor,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,"Aus der heute veröffentlichten Mitteilung geht lediglich hervor , dass das Unternehmen den Verkaufsstart der Konsole in Europa im Frühjahr 2002 erwartet .",lediglich,hdt-s66323,de_hdt-ud-train-a-2.conllu
13,gehen,medium,7,Hier geht seinem Eigennamen die Bezeichnung Herr der Kronen,voraus,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,Hier geht seinem Eigennamen die Bezeichnung Herr der Kronen voraus.,seinem Eigennamen die Bezeichnung Herr der Kronen,train-s5315,de_gsd-ud-train.conllu
14,gehen,medium,4,Gerade in Städten und dichter besiedelten Regionen jedoch gehen immer mehr Feuerwehren dazu,über,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen,41,"Gerade in Städten und dichter besiedelten Regionen jedoch gehen immer mehr Feuerwehren dazu über, auf die sogenannte stille Alarmierung mittels Funkmeldeempfänger und vereinzelt auch zusätzlich per SMS umzustellen.",immer mehr Feuerwehren dazu,train-s5038,de_gsd-ud-train.conllu
15,gehen,medium,4,Möglicherweise aber gingen die Araber noch anders,vor,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,Möglicherweise aber gingen die Araber noch anders vor .,die Araber noch anders,hdt-s102448,de_hdt-ud-dev.conllu
16,gehen,long,13,Den Gewinnrückgang aus dem operativen Geschäft geht vor allem auf Preissenkungen in dem Festnetzbereich und hohen Akquisitionskosten für neue Mobilfunkkunden,zurück,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zusammen;über,41,Den Gewinnrückgang aus dem operativen Geschäft geht vor allem auf Preissenkungen im Festnetzbereich und hohen Akquisitionskosten für neue Mobilfunkkunden zurück .,vor allem auf Preissenkungen in dem Festnetzbereich und hohen Akquisitionskosten für neue Mobilfunkkunden,hdt-s38729,de_hdt-ud-train-a-1.conllu
17,gehen,long,8,"Für 2001 geht man von einem Geschäftsvolumen von 57,2 Milliarden US-Dollar",aus,ab;abwärts;an;auf;aufwärts;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;weiter;zu;zugrunde;zurück;zusammen;über,41,"Für 2001 geht man von einem Geschäftsvolumen von 57,2 Milliarden US-Dollar aus .","man von einem Geschäftsvolumen von 57,2 Milliarden US-Dollar",hdt-s41544,de_hdt-ud-train-a-1.conllu
18,gehen,long,8,Die Auktion geht nach den Feiertagen an dem 5. Januar 2001,weiter,ab;abwärts;an;auf;aufwärts;aus;auseinander;bergauf;drauf;durch;ein;einher;entgegen;heim;her;herum;hervor;hin;hinaus;hinweg;hoch;los;mit;nach;schief;um;umher;unter;verloren;vonstatten;vor;voran;voraus;vorbei;weg;zu;zugrunde;zurück;zusammen;über,41,Die Auktion geht nach den Feiertagen am 5. Januar 2001 weiter ; das Endergebnis könnte nach Expertenmeinung bereits zwischen dem 12. und dem 20. Januar feststehen .,nach den Feiertagen an dem 5. Januar 2001,hdt-s163563,de_hdt-ud-train-b-1.conllu
19,stellen,short,1,Schnell stellen sie,fest,ab;an;auf;aus;bereit;dar;ein;entgegen;fertig;frei;gegenüber;gleich;her;heraus;hin;infrage;klar;nach;quer;raus;richtig;sicher;um;vor;zu;zusammen,27,"Schnell stellen sie fest, dass der Doc bereits verstorben ist.",sie,train-s12942,de_gsd-ud-train.conllu
20,stellen,short,2,Dell stellt neue Business-PCs,vor,ab;an;auf;aus;bereit;dar;ein;entgegen;fertig;fest;frei;gegenüber;gleich;her;heraus;hin;infrage;klar;nach;quer;raus;richtig;sicher;um;zu;zusammen,27,Dell stellt neue Business-PCs vor,neue Business-PCs,hdt-s44161,de_hdt-ud-train-a-1.conllu
21,stellen,short,1,Deutsche Bank 24 stellt eCash,ein,ab;an;auf;aus;bereit;dar;entgegen;fertig;fest;frei;gegenüber;gleich;her;heraus;hin;infrage;klar;nach;quer;raus;richtig;sicher;um;vor;zu;zusammen,27,Deutsche Bank 24 stellt eCash ein,eCash,hdt-s190397,de_hdt-ud-train-b-2.conllu
22,stellen,medium,3,Mainboards mit dem i860-Chipsatz und zwei 603-poligen Prozessorsockeln für das neue µPGA-603-Gehäuse des Xeon stellen nur wenige Firmen,her,ab;an;auf;aus;bereit;dar;ein;entgegen;fertig;fest;frei;gegenüber;gleich;heraus;hin;infrage;klar;nach;quer;raus;richtig;sicher;um;vor;zu;zusammen,27,Mainboards mit dem i860-Chipsatz und zwei 603-poligen Prozessorsockeln für das neue µPGA-603-Gehäuse des Xeon stellen nur wenige Firmen her .,nur wenige Firmen,hdt-s44039,de_hdt-ud-train-a-1.conllu
23,stellen,medium,7,Die Telefonica-Sprecherin stellte zugleich einen Bericht der Zeitung El Pais,richtig,ab;an;auf;aus;bereit;dar;ein;entgegen;fertig;fest;frei;gegenüber;gleich;her;heraus;hin;infrage;klar;nach;quer;raus;sicher;um;vor;zu;zusammen,27,"Die Telefonica-Sprecherin stellte zugleich einen Bericht der Zeitung El Pais richtig , wonach der 66-jährige ehemalige Bundeswirtschaftsminister und FDP-Politiker einen neuen Beratervertrag mit Telefonica geschlossen haben sollte .",zugleich einen Bericht der Zeitung El Pais,hdt-s172708,de_hdt-ud-train-b-2.conllu
24,stellen,medium,4,Wir stellen zurzeit sogar neue Mitarbeiter,ein,ab;an;auf;aus;bereit;dar;entgegen;fertig;fest;frei;gegenüber;gleich;her;heraus;hin;infrage;klar;nach;quer;raus;richtig;sicher;um;vor;zu;zusammen,27,Wir stellen zurzeit sogar neue Mitarbeiter ein .,zurzeit sogar neue Mitarbeiter,hdt-s65010,de_hdt-ud-train-a-2.conllu
25,stellen,long,9,Das Grenzdenkmal bei Gompertshausen stellt in dem Wesentlichen einen Teilbereich der DDR - Grenzsicherung,dar,ab;an;auf;aus;bereit;ein;entgegen;fertig;fest;frei;gegenüber;gleich;her;heraus;hin;infrage;klar;nach;quer;raus;richtig;sicher;um;vor;zu;zusammen,27,Das Grenzdenkmal bei Gompertshausen stellt im Wesentlichen einen Teilbereich der DDR - Grenzsicherung dar.,in dem Wesentlichen einen Teilbereich der DDR - Grenzsicherung,train-s5242,de_gsd-ud-train.conllu
26,stellen,long,11,Anders als auf der CeBIT stellen auf der CeBIT Home vor allem Hersteller von Produkten für Heimanwender,aus,ab;an;auf;bereit;dar;ein;entgegen;fertig;fest;frei;gegenüber;gleich;her;heraus;hin;infrage;klar;nach;quer;raus;richtig;sicher;um;vor;zu;zusammen,27,Anders als auf der CeBIT stellen auf der CeBIT Home vor allem Hersteller von Produkten für Heimanwender aus .,auf der CeBIT Home vor allem Hersteller von Produkten für Heimanwender,hdt-s35352,de_hdt-ud-train-a-1.conllu
27,stellen,long,9,"Heute stellte AltaVista Deutschland seinen neuen "" freien "" Internet-Zugang FreeIn",vor,ab;an;auf;aus;bereit;dar;ein;entgegen;fertig;fest;frei;gegenüber;gleich;her;heraus;hin;infrage;klar;nach;quer;raus;richtig;sicher;um;zu;zusammen,27,"Heute stellte AltaVista Deutschland seinen neuen "" freien "" Internet-Zugang FreeIn vor .","AltaVista Deutschland seinen neuen "" freien "" Internet-Zugang FreeIn",hdt-s174641,de_hdt-ud-train-b-2.conllu
28,geben,short,0,Bürgerinitiative gegen Mobilfunk-Sender gibt,auf,ab;an;aus;bei;bekannt;bekennen;ein;frei;her;heraus;hin;mit;nach;preis;recht;rüber;statt;vor;weiter;wider;wieder;zu;zufrieden;zurück,25,Bürgerinitiative gegen Mobilfunk-Sender gibt auf,,hdt-s69967,de_hdt-ud-train-a-2.conllu
29,geben,short,0,"6,2 Prozent gaben",an,ab;auf;aus;bei;bekannt;bekennen;ein;frei;her;heraus;hin;mit;nach;preis;recht;rüber;statt;vor;weiter;wider;wieder;zu;zufrieden;zurück,25,"6,2 Prozent gaben an , ihre Arbeit sei "" ganz erheblich "" behindert worden .",,hdt-s52379,de_hdt-ud-train-a-1.conllu
30,geben,short,0,MSN gab,an,ab;auf;aus;bei;bekannt;bekennen;ein;frei;her;heraus;hin;mit;nach;preis;recht;rüber;statt;vor;weiter;wider;wieder;zu;zufrieden;zurück,25,"MSN gab an , den entsprechenden E-Mail-Account sofort sperren zu wollen .",,hdt-s115346,de_hdt-ud-test.conllu
31,geben,medium,5,Dies gaben die Firmen an dem Montag,bekannt,ab;an;auf;aus;bei;bekennen;ein;frei;her;heraus;hin;mit;nach;preis;recht;rüber;statt;vor;weiter;wider;wieder;zu;zufrieden;zurück,25,Dies gaben die Firmen am Montag bekannt .,die Firmen an dem Montag,hdt-s53447,de_hdt-ud-train-a-1.conllu
32,geben,medium,4,Zahlen zu dem Netto-Ergebnis gab Amazon bislang jedoch nicht,bekannt,ab;an;auf;aus;bei;bekennen;ein;frei;her;heraus;hin;mit;nach;preis;recht;rüber;statt;vor;weiter;wider;wieder;zu;zufrieden;zurück,25,Zahlen zum Netto-Ergebnis gab Amazon bislang jedoch nicht bekannt - den endgültigen Geschäftsbericht für das vierte Quartal und das abgelaufene Geschäftsjahr will Amazon am 30. Januar vorstellen .,Amazon bislang jedoch nicht,hdt-s136981,de_hdt-ud-train-b-1.conllu
33,geben,medium,4,An dem 1. Juni gibt der Verlag die Preisträger,bekannt,ab;an;auf;aus;bei;bekennen;ein;frei;her;heraus;hin;mit;nach;preis;recht;rüber;statt;vor;weiter;wider;wieder;zu;zufrieden;zurück,25,Am 1. Juni gibt der Verlag die Preisträger bekannt .,der Verlag die Preisträger,hdt-s117170,de_hdt-ud-test.conllu
34,geben,long,17,British Telecom gibt damit ihren Widerstand gegen den Ankauf des 30-Prozent-Anteils der spanischen Bank Banco Santander Central Hispano durch Vodafone,auf,ab;an;aus;bei;bekannt;bekennen;ein;frei;her;heraus;hin;mit;nach;preis;recht;rüber;statt;vor;weiter;wider;wieder;zu;zufrieden;zurück,25,British Telecom gibt damit ihren Widerstand gegen den Ankauf des 30-Prozent-Anteils der spanischen Bank Banco Santander Central Hispano durch Vodafone auf .,damit ihren Widerstand gegen den Ankauf des 30-Prozent-Anteils der spanischen Bank Banco Santander Central Hispano durch Vodafone,hdt-s110615,de_hdt-ud-dev.conllu
35,geben,long,10,"Wollte der von L&H zu diesem Zeitpunkt beauftragte Wirtschaftsprüfer KPMG die vermeintlich getätigten Verkäufe nachvollziehen , so gaben sich einfach die Mitarbeiter des Managements als die entsprechenden Kunden",aus,ab;an;auf;bei;bekannt;bekennen;ein;frei;her;heraus;hin;mit;nach;preis;recht;rüber;statt;vor;weiter;wider;wieder;zu;zufrieden;zurück,25,"Wollte der von L&H zu diesem Zeitpunkt beauftragte Wirtschaftsprüfer KPMG die vermeintlich getätigten Verkäufe nachvollziehen , so gaben sich einfach die Mitarbeiter des Managements als die entsprechenden Kunden aus .",sich einfach die Mitarbeiter des Managements als die entsprechenden Kunden,hdt-s67145,de_hdt-ud-train-a-2.conllu
36,geben,long,9,Dies gab heute NSI unter Berufung auf eine Mitteilung der Ermittler,bekannt,ab;an;auf;aus;bei;bekennen;ein;frei;her;heraus;hin;mit;nach;preis;recht;rüber;statt;vor;weiter;wider;wieder;zu;zufrieden;zurück,25,Dies gab heute NSI unter Berufung auf eine Mitteilung der Ermittler bekannt .,heute NSI unter Berufung auf eine Mitteilung der Ermittler,hdt-s111146,de_hdt-ud-dev.conllu
37,nehmen,short,0,IT-Investitionen nehmen,zu,ab;an;auf;aus;ein;entgegen;ernst;fest;heraus;hin;hinzu;mit;teil;vor;wahr;war;weg;zurück,19,IT-Investitionen nehmen zu,,hdt-s48263,de_hdt-ud-train-a-1.conllu
38,nehmen,short,1,Der Bedarf an 16-MBit-DRAMs nimmt aber,zu,ab;an;auf;aus;ein;entgegen;ernst;fest;heraus;hin;hinzu;mit;teil;vor;wahr;war;weg;zurück,19,"Der Bedarf an 16-MBit-DRAMs nimmt aber zu , weil in tragbaren und in preiswerten Digitalgeräten oft kleinere Hauptspeicher stecken .",aber,hdt-s42753,de_hdt-ud-train-a-1.conllu
39,nehmen,short,0,Kritik an UMTS-Versteigerung nimmt,zu,ab;an;auf;aus;ein;entgegen;ernst;fest;heraus;hin;hinzu;mit;teil;vor;wahr;war;weg;zurück,19,Kritik an UMTS-Versteigerung nimmt zu,,hdt-s172165,de_hdt-ud-train-b-2.conllu
40,nehmen,medium,6,So nähmen sich einige Anbieter zu dem Beispiel,heraus,ab;an;auf;aus;ein;entgegen;ernst;fest;hin;hinzu;mit;teil;vor;wahr;war;weg;zu;zurück,19,"So nähmen sich einige Anbieter zum Beispiel heraus , sämtliche Kundendaten an Dritte weiterzugeben .",sich einige Anbieter zu dem Beispiel,hdt-s118316,de_hdt-ud-test.conllu
41,nehmen,medium,7,Insgesamt nahmen 50 Verwaltungen mit Ideen und Vorschlägen daran,teil,ab;an;auf;aus;ein;entgegen;ernst;fest;heraus;hin;hinzu;mit;vor;wahr;war;weg;zu;zurück,19,"Insgesamt nahmen 50 Verwaltungen mit Ideen und Vorschlägen daran teil , berichteten die Veranstalter , das Bundesinnenministerium , die Unternehmensberatung KPMG und der Netzwerkanbieter Cisco Systems am heutigen Dienstag .",50 Verwaltungen mit Ideen und Vorschlägen daran,hdt-s172118,de_hdt-ud-train-b-2.conllu
42,nehmen,medium,6,Thile nahm an allen entscheidenden Schlachten der Befreiungskriege,teil,ab;an;auf;aus;ein;entgegen;ernst;fest;heraus;hin;hinzu;mit;vor;wahr;war;weg;zu;zurück,19,Thile nahm an allen entscheidenden Schlachten der Befreiungskriege teil.,an allen entscheidenden Schlachten der Befreiungskriege,train-s4881,de_gsd-ud-train.conllu
43,nehmen,long,13,"38 deutsche Banken nahmen , wie die Deutsche Bundesbank berichtet , offenbar nach ersten Auswertungen daran erfolgreich",teil,ab;an;auf;aus;ein;entgegen;ernst;fest;heraus;hin;hinzu;mit;vor;wahr;war;weg;zu;zurück,19,"38 deutsche Banken nahmen , wie die Deutsche Bundesbank berichtet , offenbar nach ersten Auswertungen daran erfolgreich teil :",", wie die Deutsche Bundesbank berichtet , offenbar nach ersten Auswertungen daran erfolgreich",hdt-s96696,de_hdt-ud-train-a-2.conllu
44,nehmen,long,9,"An dritter Stelle liegt Yahoo mit knapp 59 Millionen Besuchern , den vierten Rang nimmt mit großem Abstand Lycos mit gut 33 Millionen Sufern",ein,ab;an;auf;aus;entgegen;ernst;fest;heraus;hin;hinzu;mit;teil;vor;wahr;war;weg;zu;zurück,19,"An dritter Stelle liegt Yahoo mit knapp 59 Millionen Besuchern , den vierten Rang nimmt mit großem Abstand Lycos mit gut 33 Millionen Sufern ein .",mit großem Abstand Lycos mit gut 33 Millionen Sufern,hdt-s148879,de_hdt-ud-train-b-1.conllu
45,nehmen,long,8,Sowinski nahm an vielen wichtigen Gefechten der Kriege gegen Napoleon,teil,ab;an;auf;aus;ein;entgegen;ernst;fest;heraus;hin;hinzu;mit;vor;wahr;war;weg;zu;zurück,19,"Sowinski nahm an vielen wichtigen Gefechten der Kriege gegen Napoleon teil und gewann die Freundschaft seines unmittelbaren Vorgesetzten, des Prinzen August von Preußen.",an vielen wichtigen Gefechten der Kriege gegen Napoleon,train-s13069,de_gsd-ud-train.conllu
46,setzen,short,1,Die Kommission entscheidet als Vertragpartner der Registry in dem übrigen auch über eine etwaige Redelegation und setzt damit,um,ab;an;auf;aus;auseinander;drauf;durch;ein;entgegen;fest;fort;frei;gleich;hinzu;hoch;voraus;zu;zurück;zusammen,20,"Die Kommission entscheidet als Vertragpartner der Registry im übrigen auch über eine etwaige Redelegation und setzt damit um , was der Regierungsbeirat der ICANN für alle Länderdomains ( ccTLD ) verlangt .",damit,hdt-s156200,de_hdt-ud-train-b-1.conllu
47,setzen,short,0,Entsprechende Anfragen setzen,voraus,ab;an;auf;aus;auseinander;drauf;durch;ein;entgegen;fest;fort;frei;gleich;hinzu;hoch;um;zu;zurück;zusammen,20,"Entsprechende Anfragen setzen voraus , dass Einträge im Katalog vorliegen .",,hdt-s10327,de_hdt-ud-test.conllu
48,setzen,short,2,Das krisengeschüttelte Softwareunternehmen Infomatec setzt seinen Verkleinerungskurs,fort,ab;an;auf;aus;auseinander;drauf;durch;ein;entgegen;fest;frei;gleich;hinzu;hoch;um;voraus;zu;zurück;zusammen,20,Das krisengeschüttelte Softwareunternehmen Infomatec setzt seinen Verkleinerungskurs fort .,seinen Verkleinerungskurs,hdt-s137108,de_hdt-ud-train-b-1.conllu
49,setzen,medium,5,Der Personalabbau setzte sich bei der Telekom weiter,fort,ab;an;auf;aus;auseinander;drauf;durch;ein;entgegen;fest;frei;gleich;hinzu;hoch;um;voraus;zu;zurück;zusammen,20,Der Personalabbau setzte sich bei der Telekom weiter fort :,sich bei der Telekom weiter,hdt-s180741,de_hdt-ud-train-b-2.conllu
50,setzen,medium,4,Nun setzt IBM eine eigene Kampagne,auf,ab;an;aus;auseinander;drauf;durch;ein;entgegen;fest;fort;frei;gleich;hinzu;hoch;um;voraus;zu;zurück;zusammen,20,"Nun setzt IBM eine eigene Kampagne auf - für Linux natürlich , wie sich angesichts des Engagements von Big Blue für das freie Betriebssystem unschwer vermuten lässt .",IBM eine eigene Kampagne,hdt-s126771,de_hdt-ud-train-b-1.conllu
51,setzen,medium,4,Dafür setzte sie einen automatischen Kanalbohrer,ein,ab;an;auf;aus;auseinander;drauf;durch;entgegen;fest;fort;frei;gleich;hinzu;hoch;um;voraus;zu;zurück;zusammen,20,"Dafür setzte sie einen automatischen Kanalbohrer ein , der die ausgebohrte Erde automatisch hinter sich spült .",sie einen automatischen Kanalbohrer,hdt-s125876,de_hdt-ud-train-b-1.conllu
52,setzen,long,15,Mit der neu gegründeten Firma New Internet Computer Co. ( NIC ) setzt er jetzt seine bislang von der Industrie verschmähte Idee von dem Netzwerk-Computer in die Praxis,um,ab;an;auf;aus;auseinander;drauf;durch;ein;entgegen;fest;fort;frei;gleich;hinzu;hoch;voraus;zu;zurück;zusammen,20,Mit der neu gegründeten Firma New Internet Computer Co. ( NIC ) setzt er jetzt seine bislang von der Industrie verschmähte Idee vom Netzwerk-Computer in die Praxis um .,er jetzt seine bislang von der Industrie verschmähte Idee von dem Netzwerk-Computer in die Praxis,hdt-s206262,de_hdt-ud-train-b-2.conllu
53,setzen,long,8,IBM setzt Kupfer schon seit rund einem Jahr bei PowerPC-Prozessoren,ein,ab;an;auf;aus;auseinander;drauf;durch;entgegen;fest;fort;frei;gleich;hinzu;hoch;um;voraus;zu;zurück;zusammen,20,IBM setzt Kupfer schon seit rund einem Jahr bei PowerPC-Prozessoren ein .,Kupfer schon seit rund einem Jahr bei PowerPC-Prozessoren,hdt-s44313,de_hdt-ud-train-a-1.conllu
54,setzen,long,15,Dell setzte in dem Juli täglich Computer in dem Wert von 30 Millionen Dollar über das Internet,ab,an;auf;aus;auseinander;drauf;durch;ein;entgegen;fest;fort;frei;gleich;hinzu;hoch;um;voraus;zu;zurück;zusammen,20,Dell setzte im Juli täglich Computer im Wert von 30 Millionen Dollar über das Internet ab .,in dem Juli täglich Computer in dem Wert von 30 Millionen Dollar über das Internet,hdt-s90081,de_hdt-ud-train-a-2.conllu
55,ziehen,short,0,Intel zieht,nach,ab;an;aus;davon;durch;ein;gleich;herab;heran;heraus;hin;hoch;mit;um;vor;vorbei;weiter;zurück;zusammen,20,Intel zieht nach :,,hdt-s11011,de_hdt-ud-test.conllu
